index_content,word,nature,content_type,index_word
11,前前后后,i,pos,34
11,干,v,pos,35
11,小时,n,pos,36
11,态度,n,pos,37
11,干活,a,pos,38
11,仔细,ad,pos,39
11,收费,n,pos,40
11,实惠,vn,pos,41
11,点,m,pos,42
11,赞,v,pos,43
14,商品质量,n,pos,0
14,制热,v,pos,1
14,保温,n,pos,2
14,长,a,pos,3
14,面板,n,pos,4
14,触摸,v,pos,5
14,灵敏,nr,pos,6
14,遥控器,n,pos,7
14,操作,v,pos,8
14,外观,n,pos,9
14,高端,n,pos,10
14,大气,n,pos,11
14,价格便宜,n,pos,12
14,实惠,vn,pos,13
14,配送,v,pos,14
14,快捷,a,pos,15
14,准时,v,pos,16
14,师傅,nr,pos,17
14,安装,v,pos,18
14,美观,nz,pos,19
14,快捷,a,pos,20
14,值得,v,pos,21
14,推荐,v,pos,22
15,选,v,pos,0
15,好久,m,pos,1
15,选,v,pos,2
15,这款,r,pos,3
15,外观,n,pos,4
15,漂亮,a,pos,5
15,安装,v,pos,6
15,师傅,nr,pos,7
15,热心,n,pos,8
15,态度,n,pos,9
15,品牌,n,pos,10
15,值得,v,pos,11
15,推荐,v,pos,12
16,昨天,t,pos,0
16,师傅,nr,pos,1
16,安装,v,pos,2
16,不错,a,pos,3
16,的的,u,pos,4
16,多年,m,pos,5
16,值得,v,pos,6
16,信赖,n,pos,7
17,安装,v,pos,0
17,满意,v,pos,1
17,安装,v,pos,2
17,人员,n,pos,3
17,服务,vn,pos,4
17,点,m,pos,5
17,赞,v,pos,6
18,空调,n,pos,0
18,高端,n,pos,1
18,大气,n,pos,2
18,上档次,b,pos,3
18,值得,v,pos,4
18,购买,v,pos,5
18,推荐,v,pos,6
18,信任,n,pos,7
22,好评,v,pos,0
22,安装,v,pos,1
22,师傅,nr,pos,2
22,服务,vn,pos,3
22,外观设计,n,pos,4
22,简单,a,pos,5
22,大方,n,pos,6
22,满意,v,pos,7
22,邻居,v,pos,8
23,正品,n,pos,0
23,质量,n,pos,1
23,送货,v,pos,2
23,很快,d,pos,3
23,我家,r,pos,4
23,电器,n,pos,5
23,满意,v,pos,6
25,东西,ns,pos,0
25,吃的用,l,pos,1
25,算,v,pos,2
25,老客户,n,pos,3
25,自营,vn,pos,4
25,产品,n,pos,5
25,保障,v,pos,6
25,产品质量,n,pos,7
25,送货,v,pos,8
25,满意,v,pos,9
25,会长,n,pos,10
26,产品,n,pos,0
26,不错,a,pos,1
26,满意,v,pos,2
26,商城,ns,pos,3
26,物美价廉,l,pos,4
27,发货,n,pos,0
27,师傅,nr,pos,1
27,安装,v,pos,2
27,很快,d,pos,3
28,物流,n,pos,0
28,太,d,pos,1
28,第二天,m,pos,2
28,安装,v,pos,3
28,家里,s,pos,4
28,电器,n,pos,5
28,品牌,n,pos,6
28,好用,v,pos,7
28,电器,n,pos,8
28,自营,vn,pos,9
28,安装,v,pos,10
28,师傅,nr,pos,11
28,服务,vn,pos,12
28,热心,n,pos,13
28,不是太好,l,pos,14
28,安装,v,pos,15
28,时,ng,pos,16
28,细心,n,pos,17
28,帮,v,pos,18
28,解决,v,pos,19
28,师傅,nr,pos,20
28,点,m,pos,21
28,赞,v,pos,22
29,自营,vn,pos,0
29,店,n,pos,1
29,购物,n,pos,2
29,放心,v,pos,3
29,值得,v,pos,4
29,信赖,n,pos,5
29,快递,v,pos,6
29,速度,n,pos,7
29,快递,v,pos,8
29,小哥,n,pos,9
29,力,n,pos,10
29,强力,n,pos,11
29,推荐,v,pos,12
29,购物,n,pos,13
29,选,zg,pos,14
33,不错,a,pos,0
33,一款,m,pos,1
33,质量,n,pos,2
33,扛,v,pos,3
33,扛,v,pos,4
33,低,a,pos,5
33,还行,v,pos,6
35,洗衣机,n,pos,0
35,功能齐全,i,pos,1
35,外观,n,pos,2
35,漂亮,a,pos,3
35,送货,v,pos,4
35,速度,n,pos,5
35,很快,d,pos,6
35,师傅,nr,pos,7
35,提前,v,pos,8
35,预约,v,pos,9
35,准时到达,l,pos,10
35,服务态度,n,pos,11
35,这方面,mq,pos,12
35,感觉,n,pos,13
35,无敌,v,pos,14
35,洗衣机,n,pos,15
35,安装,v,pos,16
35,师傅,nr,pos,17
35,教,v,pos,18
35,告知,v,pos,19
35,注意事项,n,pos,20
36,功能齐全,i,pos,0
36,价格,n,pos,1
36,实惠,vn,pos,2
36,送货,v,pos,3
36,速度,n,pos,4
36,很快,d,pos,5
36,师傅,nr,pos,6
36,提前,v,pos,7
36,预约,v,pos,8
36,准时到达,l,pos,9
36,服务态度,n,pos,10
36,这方面,mq,pos,11
36,感觉,n,pos,12
36,无敌,v,pos,13
36,安装,v,pos,14
36,师傅,nr,pos,15
36,教,v,pos,16
36,告知,v,pos,17
36,注意事项,n,pos,18
40,信赖,n,pos,0
40,希望,v,pos,1
40,越走越远,i,pos,2
45,安装,v,pos,0
45,服务,vn,pos,1
45,态度,n,pos,2
45,满意,v,pos,3
49,东西,ns,pos,0
49,好看,v,pos,1
49,送货,v,pos,2
49,很快,d,pos,3
49,房子,n,pos,4
49,没装,v,pos,5
49,评价,n,pos,6
49,朋友家,n,pos,7
49,款,m,pos,8
49,热,a,pos,9
49,很快,d,pos,10
49,成功,a,pos,11
49,网购,n,pos,12
51,购买,v,pos,0
51,款,m,pos,1
51,朋友,n,pos,2
51,说好,v,pos,3
51,价格,n,pos,4
51,便宜,a,pos,5
51,实体店,n,pos,6
51,便宜,a,pos,7
51,好多,m,pos,8
51,送货,v,pos,9
51,速度,n,pos,10
51,很快,d,pos,11
51,服务态度,n,pos,12
51,满意,v,pos,13
52,昨天晚上,t,pos,0
52,下单,n,pos,1
52,今天下午,nr,pos,2
52,送到,v,pos,3
52,安装,v,pos,4
52,速度,n,pos,5
52,真快,d,pos,6
52,感谢,v,pos,7
52,送货上门,l,pos,8
52,师傅,nr,pos,9
52,安装,v,pos,10
52,师傅,nr,pos,11
52,辛苦,a,pos,12
52,全分,n,pos,13
54,满意,v,pos,0
54,安装,v,pos,1
54,张师傅,nr,pos,2
54,细心,n,pos,3
54,装修,v,pos,4
54,时,ng,pos,5
54,接,v,pos,6
54,水管,n,pos,7
54,装,v,pos,8
54,张师傅,nr,pos,9
54,帮,v,pos,10
54,装,n,pos,11
54,服务,vn,pos,12
54,没得说,l,pos,13
56,升,v,pos,0
56,遥控,vn,pos,1
56,真的,d,pos,2
56,好用,v,pos,3
56,保修,v,pos,4
56,真的,d,pos,5
56,购买,v,pos,6
56,品牌,n,pos,7
56,值得,v,pos,8
56,信赖,n,pos,9
57,款,m,pos,0
57,加热,v,pos,1
57,很快,d,pos,2
57,容量,n,pos,3
57,够,v,pos,4
57,安装,v,pos,5
57,师傅,nr,pos,6
57,说话,v,pos,7
57,好评,v,pos,8
63,正规,a,pos,0
63,标准,n,pos,1
63,速度,n,pos,2
63,送货,v,pos,3
63,师傅,nr,pos,4
63,特别,d,pos,5
63,安装,v,pos,6
63,师傅,nr,pos,7
63,满意,v,pos,8
64,物流,n,pos,0
64,快捷,a,pos,1
64,售后,n,pos,2
64,跟进,v,pos,3
64,安装,v,pos,4
64,师傅,nr,pos,5
64,力,n,pos,6
64,中,f,pos,7
64,一切正常,i,pos,8
64,品牌,n,pos,9
64,值得,v,pos,10
64,信赖,n,pos,11
65,节能,v,pos,0
65,省电,j,pos,1
65,外,n,pos,2
65,观,vg,pos,3
65,漂亮,a,pos,4
65,节能,v,pos,5
65,物流,n,pos,6
65,很快,d,pos,7
65,送货,v,pos,8
65,师傅,nr,pos,9
65,态度,n,pos,10
68,安装,v,pos,0
68,几天,m,pos,1
68,老牌子,n,pos,2
68,值得,v,pos,3
68,购买,v,pos,4
72,白色,n,pos,0
72,好看,v,pos,1
72,大气,n,pos,2
72,升温,v,pos,3
72,很快,d,pos,4
72,洗澡,v,pos,5
72,够用,v,pos,6
72,一级,m,pos,7
72,能耗,n,pos,8
72,满意,v,pos,9
74,发货,n,pos,0
74,速度,n,pos,1
74,很快,d,pos,2
74,安装,v,pos,3
74,师傅,nr,pos,4
74,服务,vn,pos,5
74,热情,n,pos,6
74,五星,nz,pos,7
74,好评,v,pos,8
75,商品,n,pos,0
75,刚刚,d,pos,1
75,收到,v,pos,2
75,安装,v,pos,3
75,物流,n,pos,4
75,速度,n,pos,5
75,很快,d,pos,6
75,耐用,a,pos,7
78,到货,v,pos,0
78,安装,v,pos,1
78,几天,m,pos,2
78,评价,n,pos,3
78,物流,n,pos,4
78,挺快,v,pos,5
78,店家,n,pos,6
78,服务,vn,pos,7
78,热情,n,pos,8
78,好评,v,pos,9
79,品牌,n,pos,0
79,厂家,n,pos,1
79,值得,v,pos,2
79,信赖,n,pos,3
79,进口,vn,pos,4
80,价格便宜,n,pos,0
80,质量,n,pos,1
80,不错,a,pos,2
80,满意,v,pos,3
80,购物,n,pos,4
82,东西,ns,pos,0
82,真的,d,pos,1
82,很棒,a,pos,2
82,喜欢,v,pos,3
84,品牌,n,pos,0
84,值得,v,pos,1
84,信赖,n,pos,2
84,水热,n,pos,3
84,很快,d,pos,4
84,售后,n,pos,5
84,安装,v,pos,6
84,专业,n,pos,7
85,东西,ns,pos,0
85,不错,a,pos,1
85,实体店,n,pos,2
85,优惠,vn,pos,3
85,安装,v,pos,4
85,师傅,nr,pos,5
85,热情,n,pos,6
85,满意,v,pos,7
86,收到,v,pos,0
86,售后,n,pos,1
86,服务,vn,pos,2
86,很棒,a,pos,3
86,满意,v,pos,4
87,不错,a,pos,0
87,性价比,n,pos,1
87,值得,v,pos,2
87,购买,v,pos,3
89,外观,n,pos,0
89,大气,n,pos,1
89,品牌,n,pos,2
89,值得,v,pos,3
89,信赖,n,pos,4
89,物流,n,pos,5
89,很快,d,pos,6
89,安装,v,pos,7
89,专业,n,pos,8
93,热,a,pos,0
93,很快,d,pos,1
93,品牌,n,pos,2
93,值得,v,pos,3
93,信赖,n,pos,4
98,五星,nz,pos,0
98,好评,v,pos,1
98,安装,v,pos,2
98,师傅,nr,pos,3
98,力,n,pos,4
98,感谢,v,pos,5
99,送货到,l,pos,0
99,安装,v,pos,1
99,满意,v,pos,2
99,品牌,n,pos,3
99,力量,n,pos,4
101,东西,ns,pos,0
101,还好,v,pos,1
101,安装,v,pos,2
101,师傅,nr,pos,3
101,比较满意,l,pos,4
102,安装,v,pos,0
102,态度,n,pos,1
102,运送,v,pos,2
102,速度,n,pos,3
102,很快,d,pos,4
102,好评,v,pos,5
103,物流,n,pos,0
103,很快,d,pos,1
103,服务态度,n,pos,2
103,老客户,n,pos,3
109,东西,ns,pos,0
109,真,d,pos,1
109,价格,n,pos,2
109,优惠,vn,pos,3
109,好评,v,pos,4
109,好评,v,pos,5
109,好评,v,pos,6
112,送货,v,pos,0
112,很快,d,pos,1
112,安装,v,pos,2
112,效果,n,pos,3
112,加热,v,pos,4
113,配送,v,pos,0
113,安装,v,pos,1
113,服务,vn,pos,2
113,满意,v,pos,3
114,外观,n,pos,0
114,高大,a,pos,1
114,信赖,n,pos,2
117,不错,a,pos,0
117,物流,n,pos,1
117,速度,n,pos,2
117,挺快,v,pos,3
129,物流,n,pos,0
129,很快,d,pos,1
129,服务,vn,pos,2
130,送货,v,pos,0
130,很快,d,pos,1
130,服务,vn,pos,2
132,服务满意,n,pos,0
132,五星,nz,pos,1
132,好评,v,pos,2
133,货,n,pos,0
133,收到,v,pos,1
133,喜欢,v,pos,2
137,服务,vn,pos,0
137,安装,v,pos,1
137,满意,v,pos,2
144,服务,vn,pos,0
144,满意,v,pos,1
151,不错,a,pos,0
151,下单,n,pos,1
151,第二天,m,pos,2
151,下午,t,pos,3
151,师傅,nr,pos,4
151,上门,ns,pos,5
151,安装,v,pos,6
151,收,v,pos,7
151,点,m,pos,8
151,材料费,n,pos,9
151,不到,v,pos,10
151,块,zg,pos,11
151,安装,v,pos,12
151,厕所,n,pos,13
151,热水,n,pos,14
151,接到,v,pos,15
151,厨房,n,pos,16
151,非常感谢,i,pos,17
151,安装,v,pos,18
151,师傅,nr,pos,19
151,升,v,pos,20
151,家里,s,pos,21
151,三个,m,pos,22
151,大人,n,pos,23
151,小孩,n,pos,24
151,正好,a,pos,25
151,够用,v,pos,26
151,品牌,n,pos,27
151,值得,v,pos,28
151,信赖,n,pos,29
151,点,m,pos,30
151,赞,v,pos,31
155,五星,nz,pos,0
155,好评,v,pos,1
155,送货,v,pos,2
155,负责,v,pos,3
155,安装,v,pos,4
155,利索,n,pos,5
155,产品,n,pos,6
155,不错,a,pos,7
155,安装费,n,pos,8
155,是因为,c,pos,9
155,开,v,pos,10
155,宝马,nr,pos,11
155,其他人,rr,pos,12
155,几十,m,pos,13
155,总体,n,pos,14
155,服务,vn,pos,15
155,不错,a,pos,16
156,服务,vn,pos,0
156,特别,d,pos,1
156,配送,v,pos,2
156,购买,v,pos,3
156,商品,n,pos,4
156,不错,a,pos,5
156,打电话,l,pos,6
156,客服,n,pos,7
156,安装,v,pos,8
156,安装,v,pos,9
156,师傅,nr,pos,10
156,有效率,n,pos,11
156,安装,v,pos,12
156,态度,n,pos,13
156,款,m,pos,14
156,外观,n,pos,15
156,大方,n,pos,16
156,干净,a,pos,17
156,安装简单,nr,pos,18
156,特别,d,pos,19
156,省,n,pos,20
156,电,n,pos,21
156,超值,v,pos,22
158,送货,v,pos,0
158,安装,v,pos,1
158,预约,v,pos,2
158,历史,n,pos,3
158,上门,ns,pos,4
158,安装,v,pos,5
158,师傅,nr,pos,6
158,准时,v,pos,7
158,用心,n,pos,8
158,收费,n,pos,9
158,费用,n,pos,10
158,收取,v,pos,11
158,安装,v,pos,12
158,满意,v,pos,13
158,服务态度,n,pos,14
158,安装,v,pos,15
158,师傅,nr,pos,16
158,衣服,n,pos,17
158,淋湿,n,pos,18
158,安装,v,pos,19
158,赞赞,v,pos,20
158,赞,v,pos,21
158,安装,v,pos,22
158,师傅,nr,pos,23
158,满意,v,pos,24
159,安装,v,pos,0
159,师傅,nr,pos,1
159,态度,n,pos,2
159,不错,a,pos,3
159,电话,n,pos,4
159,提前,v,pos,5
159,预约,v,pos,6
159,到场,d,pos,7
159,前,f,pos,8
159,预约,v,pos,9
159,提醒,v,pos,10
159,客户,n,pos,11
159,仔细,ad,pos,12
159,细致入微,i,pos,13
159,服务,vn,pos,14
159,安装程序,l,pos,15
159,规范化,n,pos,16
159,值得,v,pos,17
159,信赖,n,pos,18
160,安装,v,pos,0
160,发现,v,pos,1
160,机器,n,pos,2
160,客服,n,pos,3
160,第二天,m,pos,4
160,换,nz,pos,5
160,新机,n,pos,6
160,安装,v,pos,7
160,完美,a,pos,8
160,加热,v,pos,9
160,一切正常,i,pos,10
160,客服,n,pos,11
160,态度,n,pos,12
160,安装,v,pos,13
160,师傅,nr,pos,14
160,态度,n,pos,15
160,极好,d,pos,16
160,热情服务,l,pos,17
160,技术,n,pos,18
160,一流,n,pos,19
167,商品,n,pos,0
167,网上,s,pos,1
167,快递,v,pos,2
167,准时,v,pos,3
167,送达,v,pos,4
167,主动,b,pos,5
167,预约,v,pos,6
167,安装,v,pos,7
167,准时,v,pos,8
167,好评,v,pos,9
168,好用,v,pos,0
168,水热,n,pos,1
168,很快,d,pos,2
168,电器,n,pos,3
168,选,v,pos,4
168,好用,v,pos,5
168,水热,n,pos,6
168,很快,d,pos,7
168,电器,n,pos,8
168,选,v,pos,9
169,效果,n,pos,0
169,保温,n,pos,1
169,效果,n,pos,2
169,老婆,n,pos,3
169,喜欢,v,pos,4
169,拔掉,v,pos,5
169,插头,n,pos,6
169,耗电,v,pos,7
169,该不该,v,pos,8
169,洗完,v,pos,9
169,拔,v,pos,10
169,插头,n,pos,11
169,断电,n,pos,12
172,安装,v,pos,0
172,到位,v,pos,1
172,我家,r,pos,2
172,弄,v,pos,3
172,满意,v,pos,4
172,服务,vn,pos,5
172,安装,v,pos,6
172,技术,n,pos,7
172,满意,v,pos,8
173,维修,v,pos,0
173,李昀阳,nr,pos,1
173,师傅,nr,pos,2
173,负责,v,pos,3
173,客户服务,n,pos,4
173,周到,v,pos,5
173,热情,n,pos,6
173,耐心,a,pos,7
173,客户,n,pos,8
173,提供,v,pos,9
173,最佳,z,pos,10
173,服务,vn,pos,11
173,特此,d,pos,12
173,感谢,v,pos,13
176,热水,n,pos,0
176,效果,n,pos,1
176,不错,a,pos,2
176,价格,n,pos,3
176,实惠,vn,pos,4
176,送货,v,pos,5
176,很快,d,pos,6
176,安装,v,pos,7
176,师傅,nr,pos,8
176,态度,n,pos,9
176,速度,n,pos,10
176,很快,d,pos,11
177,服务到位,n,pos,0
177,商城,ns,pos,1
177,一路,m,pos,2
177,感谢,v,pos,3
177,安装,v,pos,4
177,师傅,nr,pos,5
177,家里,s,pos,6
177,停水,v,pos,7
177,上门,ns,pos,8
177,试验,vn,pos,9
177,机器,n,pos,10
180,商品,n,pos,0
180,安装,v,pos,1
180,顺利,ad,pos,2
180,预约,v,pos,3
180,取消,v,pos,4
180,投诉,v,pos,5
180,还行,v,pos,6
181,满意,v,pos,0
181,送货到,l,pos,1
181,安装,v,pos,2
181,品牌,n,pos,3
181,管理,vn,pos,4
181,确实,ad,pos,5
181,值得,v,pos,6
181,信赖,n,pos,7
184,品牌,n,pos,0
184,高端,n,pos,1
184,大气,n,pos,2
184,上档次,b,pos,3
184,赞,v,pos,4
186,购物,n,pos,0
186,服务,vn,pos,1
186,质量,n,pos,2
186,保证,v,pos,3
186,送货,v,pos,4
186,小哥,n,pos,5
186,长得帅,nr,pos,6
186,速度,n,pos,7
186,很快,d,pos,8
186,满意,v,pos,9
189,愉快,a,pos,0
189,购物,n,pos,1
189,经历,n,pos,2
189,速度,n,pos,3
189,隔天,nz,pos,4
189,赞,v,pos,5
200,质量,n,pos,0
200,不错,a,pos,1
200,价格,n,pos,2
200,实惠,vn,pos,3
200,服务态度,n,pos,4
200,商城,ns,pos,5
200,商品,n,pos,6
200,值得,v,pos,7
200,信赖,n,pos,8
203,东西,ns,pos,0
203,收到,v,pos,1
203,安装,v,pos,2
203,服务,vn,pos,3
203,周到,v,pos,4
203,满意,v,pos,5
204,快递,v,pos,0
204,很快,d,pos,1
204,商家,n,pos,2
204,服务,vn,pos,3
204,外观,n,pos,4
204,很漂亮,n,pos,5
206,师傅,nr,pos,0
206,安装,v,pos,1
206,合适,a,pos,2
206,服务,vn,pos,3
206,到位,v,pos,4
206,值得,v,pos,5
206,信赖,n,pos,6
209,喜欢,v,pos,0
209,速度,n,pos,1
213,服务,vn,pos,0
213,真的,d,pos,1
213,不错,a,pos,2
213,嘻嘻,z,pos,3
213,家里,s,pos,4
213,满意,v,pos,5
219,安装,v,pos,0
219,师傅,nr,pos,1
219,服务,vn,pos,2
219,辛苦,a,pos,3
220,安装,v,pos,0
220,人员,n,pos,1
220,专业,n,pos,2
220,值得,v,pos,3
220,点,m,pos,4
220,赞,v,pos,5
223,当天,t,pos,0
223,下单,n,pos,1
223,当天,t,pos,2
223,送货,v,pos,3
223,赞,v,pos,4
224,安装,v,pos,0
224,值得,v,pos,1
224,信赖,n,pos,2
225,安装,v,pos,0
225,外观,n,pos,1
225,精美,a,pos,2
225,好评,v,pos,3
228,物流配送,n,pos,0
228,很快,d,pos,1
228,服务,vn,pos,2
237,送货,v,pos,0
237,很快,d,pos,1
237,评价,n,pos,2
241,东西,ns,pos,0
241,不错,a,pos,1
241,值得,v,pos,2
241,信赖,n,pos,3
241,自营,vn,pos,4
241,保障,v,pos,5
253,送货,v,pos,0
253,很快,d,pos,1
253,送货员,l,pos,2
253,态度,n,pos,3
254,产品质量,n,pos,0
254,售后服务,l,pos,1
254,满意,v,pos,2
266,满意,v,pos,0
266,产品,n,pos,1
278,信赖,n,pos,0
308,质量,n,pos,0
308,不错,a,pos,1
308,加热,v,pos,2
308,一级,m,pos,3
308,能耗,n,pos,4
308,满意,v,pos,5
309,铁粉,n,pos,0
309,一如既往,i,pos,1
309,支持,v,pos,2
310,挺好用,a,pos,0
310,没什么,l,pos,1
310,噪音,n,pos,2
310,加热,v,pos,3
310,很快,d,pos,4
310,储水量,n,pos,5
312,东西,ns,pos,0
312,还行,v,pos,1
312,装,n,pos,2
312,师傅,nr,pos,3
312,简单,a,pos,4
319,家店,n,pos,0
319,信赖,n,pos,1
321,物流,n,pos,0
321,很快,d,pos,1
321,服务,vn,pos,2
324,烧水,n,pos,0
324,很快,d,pos,1
324,控制面板,n,pos,2
324,简单,a,pos,3
324,易懂,nr,pos,4
324,适合,v,pos,5
324,老人家,n,pos,6
329,完美,a,pos,0
329,不错,a,pos,1
329,当天,t,pos,2
329,收货,n,pos,3
329,当天,t,pos,4
329,安装,v,pos,5
331,购买,v,pos,0
331,发货,n,pos,1
331,速度,n,pos,2
331,很快,d,pos,3
331,客服,n,pos,4
331,服务,vn,pos,5
331,热情周到,l,pos,6
331,当天,t,pos,7
331,下单,n,pos,8
331,客服,n,pos,9
331,电话,n,pos,10
331,确认,v,pos,11
331,订单,n,pos,12
331,具体内容,n,pos,13
331,收货,n,pos,14
331,地址,n,pos,15
331,收货,n,pos,16
331,注意事项,n,pos,17
331,讲述,v,pos,18
331,厂家,n,pos,19
331,报装,v,pos,20
331,具体操作,l,pos,21
331,安装,v,pos,22
331,这块,r,pos,23
331,纳入,v,pos,24
331,服务,vn,pos,25
331,内容,n,pos,26
331,卖家,n,pos,27
331,购物,n,pos,28
331,无忧,v,pos,29
331,年纪,t,pos,30
331,相关,v,pos,31
331,熟,a,pos,32
331,不知,v,pos,33
331,操作,v,pos,34
331,迷茫,z,pos,35
331,送货,v,pos,36
331,工作人员,n,pos,37
331,服务,vn,pos,38
331,热情,n,pos,39
331,送货到,l,pos,40
331,指定,v,pos,41
331,楼层,n,pos,42
331,安装,v,pos,43
331,师傅,nr,pos,44
331,到达,v,pos,45
331,着装,v,pos,46
331,整齐,d,pos,47
331,技术,n,pos,48
331,熟练,a,pos,49
331,服务,vn,pos,50
331,热情,n,pos,51
331,满意,v,pos,52
331,初次,d,pos,53
331,加热,v,pos,54
331,四十分钟,m,pos,55
331,指定,v,pos,56
331,温度,n,pos,57
331,等用,v,pos,58
331,一段时间,l,pos,59
331,评价,n,pos,60
333,送货,v,pos,0
333,速度,n,pos,1
333,好评,v,pos,2
333,配货,n,pos,3
333,放心,v,pos,4
333,送到,v,pos,5
333,屋里,s,pos,6
333,安装,v,pos,7
333,师傅,nr,pos,8
333,预约,v,pos,9
333,时间,n,pos,10
333,准时,v,pos,11
333,师傅,nr,pos,12
333,态度,n,pos,13
333,安装,v,pos,14
333,费用,n,pos,15
333,明码标价,n,pos,16
333,官方,n,pos,17
333,收费,n,pos,18
333,要用,v,pos,19
333,不用,v,pos,20
333,师傅,nr,pos,21
333,强制,v,pos,22
333,追评,v,pos,23
337,送货,v,pos,0
337,很快,d,pos,1
337,态度,n,pos,2
337,售,v,pos,3
337,安装,v,pos,4
337,安装工人,l,pos,5
337,负责,v,pos,6
337,牌子,n,pos,7
337,信得过,v,pos,8
339,不错,a,pos,0
339,师傅,nr,pos,1
339,安装,v,pos,2
339,很快,d,pos,3
339,调试,vn,pos,4
339,很好,a,pos,5
347,质量,n,pos,0
347,安装,v,pos,1
347,师傅,nr,pos,2
347,态度,n,pos,3
347,值得,v,pos,4
347,信赖,n,pos,5
347,品牌,n,pos,6
348,加热,v,pos,0
348,速度,n,pos,1
348,挺快,v,pos,2
348,热水,n,pos,3
348,挺足,a,pos,4
348,容量,n,pos,5
348,很大,a,pos,6
348,够用,v,pos,7
348,长,a,pos,8
348,很漂亮,n,pos,9
348,安装,v,pos,10
348,师傅,nr,pos,11
348,细心,n,pos,12
348,预约,v,pos,13
348,很快,d,pos,14
348,装,v,pos,15
348,特别,d,pos,16
348,价位,n,pos,17
348,很值,a,pos,18
353,产品,n,pos,0
353,正品,n,pos,1
353,尺寸,n,pos,2
353,合适,a,pos,3
353,安装,v,pos,4
353,服务,vn,pos,5
353,好评,v,pos,6
354,收到,v,pos,0
