id,comment,score
28347,虽不是鹿晗的铁粉，但话还是要说的，上映前，他们俩一起去拍了“向往的生活”，说鹿晗怎么怎么好，剧本没出来就定了，就觉得他适合这部戏，期间还推杯换盏的，开心的飞起，感觉看到了票房大卖的样子，现在呢，最起码总结电影问题的时候不应该单独拎某个人出来，给世人传递意念。导演这点不好！,0.9983
28348,为什么大吧对于新专辑好像一点都不重视的样子，不能对鹿晗的新专辑上心一点吗，别家要出新专辑了，官方后援会每天都积极让粉丝为新专辑努力，到了这里就是低调,0.9441
28350,这张 帅气姐弟,0.8342
28351,辛苦辛苦，天气原因延迟到今天，但是依然热情高涨[加油][加油][加油],0.9999
28352, 每一张都可爱,0.6874
28353,期待鹿晗,0.6423
28354,鹿哥，杀青咯好好休息一下，期待热血街舞团！！,0.601
28355,期待江洋*77777777777777777,0.6831
28356,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！！,0.509
28357,点赞多少个暑假我就请多少个人看鹿鹿的上海堡垒,0.965
28358,觉得不会投，因为个人觉得，这个导演太厉害了，不得不佩服，被向佐说,0.2504
28360,帅哥美女真养眼,0.9984
28361,天辽地宁，与鹿同行,0.1395
28362,怎么奇怪,0.3169
28364,期待《上海堡垒》 期待江洋,0.7641
28365,谢谢你江洋，辛苦了鹿晗,0.8416
28366,鹿鹿,0.4738
28367,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！,0.8158
28368,堡垒加油,0.8953
28369,其实我觉得还可以.....特效做的很好呀,0.7964
28370,陪你闯天下,0.577
28371,转发微博,0.6439
28372,天辽地宁与鹿同行,0.1395
28373,露点头发也太好看啦,0.7092
28374,呜哇！有一个帅哥哥,0.9973
28375,啊啊啊啊啊啊啊堡宝,0.9681
28376,新年快樂,0.8162
28377,堡垒争气！堡垒冲鸭！,0.2382
28378,在那个“向往的生活”里面，你那个导演不是说就看了鹿晗那张照片，就觉得该是他吗？现在又说这样的号，未免太那个了。我记得当时，黄磊还问那个导演（导演名字记不得）是不是看鹿晗好看，那个导演还说不是，是真的很看好他什么来着，哎，我都不知道说什么了，我都不是鹿晗的粉，都看不过去,0.8787
28379,请问评论里说大吧不积极的都给了多少钱呢,0.0021
28380,很喜欢很棒,0.9614
28381,期待0809鹿晗对舒淇姐姐爱而不得的表演！,0.975
28382,愿你往后走的每一步，都会被洒满玫瑰花瓣。,0.9709
28383,棒棒哒，加油！,0.8851
28384,爱你❤,0.728
28385,小可爱,0.8105
28386,期待江洋！！！！！,0.2312
28387,期待江洋,0.7053
28388,等你啊等你！大堡贝,0.7501
28390,剧本＞导演＞演员,0.9778
28391, 好棒,0.875
28392,很棒很棒,0.9736
28393,不是吹，我们家的花篮应援真的很厉害，话说上海堡垒的花艺好漂亮。,0.7555
28394,天气原因才看上，感谢你们的一鹿相伴,0.5518
28395,p4憨憨加油 p5憨憨惊讶 p9憨憨拆话筒,0.9814
28397,过分了！！！！！,0.0417
28398,啊啊啊啊啊啊啊啊啊小堡垒！！,0.9555
28400,要大卖,0.5556
28401,有个错别字，取得,0.5556
28402,永远有个遗憾落在了那个夏天。但还是很高兴能遇见江洋。,0.9937
28403,江洋宝贝,0.8161
28404,相比较下来，第三张鹿鹿真的好奶哦，像个糯米团子,0.5671
28405,希望我喜欢的男孩可以天天开心,0.987
28406,闽闽之中，豫芦相逢，天地辽宁，咔咔的,0.9992
28407,哇⊙∀⊙！昨天没见这个,0.3114
28408,19年见了，江洋,0.3324
28409,鹿哥加油,0.8953
28411,可以了，期待口碑很好,0.9174
28412,顶一楼！,0.354
28415,江洋哥哥,0.9719
28416,恭喜杀青,0.7298
28417,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我靠,0.9997
28418,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！,0.6391
28419,一部电影好与不好，全寄希望于一个人？每个角色都很重要，而且导演作为一部戏的中心，最关键的好吗，把责任一味地推到一位演员身上，很没担当诶,0.9999
28420,摩点没下线…别的家都开了,0.2575
28421,啊啊啊，好可爱,0.9515
28422,舒淇一直这么可爱，嗲嗲的却不招人烦,0.1681
28423,鹿鹿走花路,0.5046
28424,芦苇,0.7298
28426,我江洋哥哥,0.9719
28427,啊啊啊，江洋哥哥,0.9894
28428,啊啊啊啊啊啊是我们大堡垒～,0.9574
28430,期待堡垒啦,0.666
28431,转,0.4846
28432,辛苦了,0.82
28433,嗷！好可爱！,0.8673
28434,第三张是哪的？,0.2094
28435,以后的路一起走,0.6798
28436, 天辽地宁，与鹿同行,0.1395
28437,加油＾０＾~,0.8953
28438,期待出色的你！,0.9128
28439,最帅的鹿哥,0.6429
28440,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 我的天呐！！大堡竟然更博了,0.9998
28442,听说流浪地球也很好看，不过堡垒争气！堡垒冲鸭！暑假见,0.9992
28443,你在向往的生活里是怎么说的？,0.9149
28444,辛苦啦,0.82
28445,好可爱一小男孩！,0.9679
28446,你往后的每一步，都会撒满玫瑰花瓣,0.9875
28448,p4是什么绝世可爱,0.9473
28449,期待,0.689
28450,2019见,0.361
28452,看下私信,0.9463
28453,。,0.5262
28454,     想给你最好的 愿你得到最好的 在小贵分心里 你是最好的,0.8382
28455,好可爱！！！,0.6297
28456,我好喜欢他俩的互动啊！！！ 舒淇好可爱！！ 感觉很好玩！！ 整个剧组都很可爱！我猜两个人私底下聊天应该也挺有意思的,0.9999
28457,鲜花应援,0.6461
28458,天辽地宁与鹿同行！,0.1395
28459,哎呀，这是新的鹿鹿,0.5967
28460,期待江洋，期待《上海堡垒》,0.7641
28461,哇，江洋哥哥,0.9719
28463,大堡垒冲鸭,0.2831
28464,鹿晗：我有逼你们看吗？,0.6092
28465, 你是远方星球的引力，所以我潮汐不止！,0.9826
28466,我爱你,0.7483
28467,超级可爱,0.7544
28470,可爱,0.8089
28471, 期待鹿晗～,0.667
28472,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我爱你！！！！！！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1.0
28473,啊啊啊啊啊啊啊啊，江洋！！！,0.9373
28475,等你！小堡贝！,0.7501
28476,这是送分题我会 英语经常这么干,0.3195
28477,  陪你闯天下,0.577
28478,好可爱,0.879
28479,一直都这么可爱,0.824
28480,也就是无数人后来效仿的走花路,0.4996
28483,表白鹿晗哥哥！！期待江洋,0.9146
28484,上海见圣诞快乐！,0.9662
28485,啊啊啊啊啊我的大堡贝终于有消息了,0.9223
28486,新年快乐！！期待堡垒，期待江洋哥哥,0.9907
28487,堡贝加油(ง •̀_•́)ง,0.9541
28488,不远，没有我选的选项，我要选观众，没有观众哪来的票房？,0.9998
28489,组织和实施的姐姐们辛苦了，这个夏天难以忘怀，还好有你们一鹿陪伴，加油,1.0
28491,好可爱一小朋友,0.9391
28492,哇我还是第一次看见,0.4969
28493,我一直在,0.5262
28494,小柠檬！！！！,0.8978
28495,恭喜杀青 去休假吧 哈哈哈哈哈哈,0.9982
28497,哇啊啊啊啊啊啊啊期待江洋哥哥！！！！！,0.9942
28499,科幻年啊！,0.767
28500,缺一不可？你是在搞笑么？那这个问题有啥意义？,0.7144
28501,为什么文案不能精简点 直接jz+付钱的方式就行了 每次都不该 没看到你爱鹿晗的心,0.5734
28502,江洋，加油,0.9112
28503,谁还敢说没有cp感的！！！！,0.1586
28504,鹿晗往后的每一步都铺满玫瑰花瓣,0.9413
28506,鹿鹿快点拍完出来玩吧,0.7925
28508,期待上海堡垒,0.6004
28509,啊啊啊啊啊江洋哥哥！！！！,0.9854
28512,大吧大吧，我个憨憨我转到上次的号里了，没事吧,0.2288
28514,上海堡垒电影票我买了，就等上映啦,0.4007
28515,愿你往后走的每一步，路上都洒满花瓣,0.9192
28517, 我的可爱宝贝呀,0.9399
28518,恭喜杀青！希望早点看到江洋,0.6993
28519,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1.0
28520,等大堡垒，等江洋，除夕快乐,0.9435
28521,  新年快乐！期待堡垒！,0.8114
28522,老期待啦！,0.7057
28523,上海堡垒在网上连抢版都没有，这应该是对一部院线电影最大的侮辱。,0.6473
28524,  ,0.5262
28525,超可爱,0.8288
28526,面对漂亮姐姐还是会害羞,0.9947
28527,鹿晗lh,0.4477
28528,有盘锦场吗,0.7051
28529,可可爱爱,0.9189
28530,图二 真实的尖叫,0.7171
28531,江洋好帅啊啊啊啊啊,0.8874
28532,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！！⚡ ⚡ ⚡,0.7636
28534,选项里面居然没有让蔡徐坤去演！让流量明星上阵！这才是电影票房的保证！这个上海堡垒之所以没票房就是因为鹿晗现在没以前火了，过气了，知道不！,0.7111
28535,"往后的每一步都会被铺满玫瑰花瓣,任何阻碍都阻挡不了你,一切都会辉煌灿烂",0.9999
28536,棒棒哒,0.4738
28538,为江洋哥哥打call，辛苦了，恭喜杀青,0.9968
28540,啊啊啊啊啊啊超级期待啊 快上映！！！期待江洋！！！,0.8846
28542,满满的祝福和期待送给上海堡垒,0.9661
28543,这部电影成功关闭了中国科幻片的序幕。,0.9723
28544, 恭喜杀青,0.7298
28545,新年快乐，猪年大吉,0.2446
28546,期待今年的大堡垒,0.6711
28547,怎么说呢，流量明星的演技怎么心里没点普吗？自己想靠流量明星保本，结果亏了，自己不应该反思吗？而且除了这个问题，这本电影本身也是有问题的,0.9828
28548,期待今年！！！！,0.3727
28549,编剧编得烂，导演导得不好，关演员什么事！我女儿和我妹去看了，说是故事情节太烂了好吧！,0.162
28550,期待期待,0.8154
28551,多余的选项,0.6393
28552,今天下午看流浪地球也看到我垒的预告啦 超级鸡冻,0.9918
28553,剧情的问题,0.6316
28554,喜欢，等不及了,0.5995
28555,下,0.5042
28556,疯狂期待,0.7267
28557,服了 我一个路人都看不下去了 这又开始骂蔡徐坤了？之前喷因为鹿晗演不看 播完了又喷要不是鹿晗就不去看 现在又喷蔡徐坤粉丝多？你要不先去喷喷废青？不想喷废青就把你嘴闭上,0.0002
28558,堡堡加油！！！,0.6432
28559,剧本简直、看了预告就感觉像看过这个电影一样、总感觉和哪一步很像,0.9891
28561,剧情看不懂，所以没人看,0.4637
28562,我觉得堡垒这样宣传很好，即使我看不到憨憨的物料,0.2815
28563,堡垒冲啊[加油],0.8953
28564,再来一发预告吧,0.2922
28565,凌晨两点，比范思哲还表明更快，态度明确，作为中国人我们热爱我们的祖国，祖国利益高于一切，中国一点都不能少,0.9962
28567,大堡垒加油,0.8975
28568,不观望不犹豫，任何代言在国家利益面前都不值一提。,0.5747
28569,堡贝加油,0.9625
28570,《上海堡垒》从哪里看都看不出是诚意之作。只要有好的电影出现，观众就不会失去信心，但就是先进观众审美进步的同时，某些导演艺人还乐此不彼的开后车。,0.9976
28571,刘海太那啥了,0.8703
28572,杨幂方了解后第一时间发声明,0.1611
28573,期待大堡垒！,0.6711
28574,上海堡垒是真的不好看，没有剧情，还不如看使徒行者二,0.5137
28575,还没看的想二刷的私信博主自取哟,0.8908
28576,恶心,0.1241
28577,国家高于一切，这是原则问题，中国一点都不能少,0.8944
28579,上海堡垒没有负分选项，差评！,0.0107
28580,这个额呵呵真不错,0.9372
28581,祖国利益高于一切，支持杨幂,0.9629
28582,预祝堡垒成功,0.5801
28583,只说一句，现在的观众只为好作品买单。,0.8691
28584,能不被老王喷的明星也就林更新了,0.4301
28585,我们大幂幂就是刚，支持幂幂,0.4745
28587,作为一部抵御外星人、保卫家园的科幻电影，本应带给我们一些感动，甚至热泪盈眶，但是这部电影看得我略显尴尬，舒淇作为一名司令，走路姿势有些别扭，最后打斗的场面也像极了小时候拿着玩具枪和小伙伴玩耍的样子。台词配音也少了份紧迫和庄重。,1.0
28588,期待郑爽女儿们的恋爱 ,0.9748
28589,期待！,0.689
28590,好喜欢他们俩,0.8999
28591,我TM开心,0.8864
28592,上海堡垒这部影片很好看，特效是真的好，服化道是真的棒，剧情跌宕起伏，演员演技都在线。推荐大家去看，不能让我一个人花这冤枉钱。,0.9996
28593, 哈哈哈,0.8684
28594,期待郑爽女儿们的恋爱,0.9748
28595,演员就该有演员的样子，中国演员的门槛太低了，啥歪瓜裂枣都能当演员,1.0
28596,哈哈哈哈哈哈哈！,0.9751
28597,郑爽,0.5
28598,期待啊,0.689
28599,他的特效也水的不行了，很多都是贴图。最无语的是重建后的上海和原先的上海一模一样？？？,0.2969
28600, 出来挨打！,0.5
28601,期待郑爽,0.666
28602,期待(๑˙ー˙๑),0.666
28603,我喜欢吴京的电影,0.9661
28604,  额呵呵呵哈哈哈哈哈哈哈哈哈,0.9982
28605,坚持一个中国原则，杨幂很干脆很果敢,0.9967
28607,粉丝有在这里打嘴炮，还不如掏钱多去二刷三刷几次，让这部电影早点喜提破亿海报呢、毕竟某鹿可是有6000万粉丝的人,0.4169
28608,回复,0.1583
28609,支持杨幂，好样的,0.8202
28610,以后不要带以后与电影无关的不要带上海堡垒话题 电影广场刷出来不好看,0.9654
28611,意料之中，你看选了哪些角,0.8138
28612,林更新挺好的还帮忙解围,0.666
28613,我的关注点是郑爽真的好漂亮 ,0.9815
28614,上海堡垒必须给我打爆一切,0.145
28615,和电影无关的不要带上海堡垒四个字哦,0.8019
28616,台词好棒！！！,0.8806
28617,不管怎么样，我也还是觉得这电影确实不错的。,0.9748
28618,燃！炸！,0.6836
28619,连解说我都看不下去,0.3013
28620,江洋哥哥我来啦,0.9719
28621,上海堡垒,0.4297
28622,拍的这是一坨啥啊，退票！法克,0.118
28623,说的中肯,0.5356
28624,杨幂刚! ,0.7895
28625,现在就开始宣传了！给力,0.1983
28626,对 导演这么可爱 怎么能忽略小熊呢,0.9919
28627,你看看odeon官网有没有,0.2016
28628,回评来辽,0.3357
28629,帅炸了！,0.938
28631,路人被鹿晗暴击了,0.2673
28632,卧槽，还有夜店的戏份啊？心真他妈大，我只看了开头就看不下去了,0.8444
28633,期待鹿晗，期待江洋哥哥！！！,0.9631
28635,知道为什么会烂吗   粉丝一开始狂吹 中国科幻  现在呢  疯狂控评 路人说电影烂就骂人家收钱 黑子       说白了   上海堡垒 终究不过是一部粉丝电影    因为你们心中 除了粉丝其他都是黑子,0.7783
28636,我聪哥是真牛批，啥都不怕,0.2568
28637,专注郑爽！期待郑爽！！,0.866
28638,19年我们的堡垒要大发啊！！！！！,0.0275
28639,还有问一些好的问题方便堡垒官博可以发出来啊，今天都好几场了，好像只发了一个军人妈妈的发言？,0.1878
28640,就一点 军人还留个偶像发型 戴军帽还怕发型压塌了 虚着带 我就吐了,0.8797
28641,我是第一天上映去看的，可能因为刚看完烈火英雄没多久，对这个很期待，但是真的去看了之后再跟前几天的烈火英雄一对比，我觉得辜负了我的期待，我倒不觉得有什么流量演员演技之类的问题，我觉得每个人演的都很好，但是这个电影好像为了演而演，看完以后我都没有记住什么内容，还是剧情有问题,1.0
28642,还有拿枪的姿势，还有体型，肌肉。,0.8795
28643,劳资超喜欢绘梨衣,0.8744
28644,上映前他可不是这么说的，现在帅锅鹿？,0.8283
28645,互评加油,0.6558
28646,用这一战，赢你和勋章！ 0809上海堡垒电影院见！！！   ,0.1884
28647,放下偏见，一切才玩的开,0.8347
28648,最后一张图为粉丝p图 请勿上纲上线谢谢,0.7673
28649,期待鹿晗，期待江洋！0809电影院见！,0.6392
28650,四字互评,0.1671
28651,鲜肉连个头发都舍不得剪，没有军人样子！,0.2752
28652,讨厌上这装逼的人,0.5888
28654,今天去看流浪地球，也看到上海堡垒的预告了吼吼吼,0.9976
28655,劈天盖地的恶意与嘲讽，用着空号或僵尸号骂着用心评价这部电影的人“一条多少钱，好评就是收钱了”，真的是太讽刺了。,0.1653
28656,我tm就是哭了 我同学也看哭了 你自己没看当然乱说,0.7769
28657,是呀，也要顾及到导演呀，导演人这么好,0.9611
28658,不至于黑成这样,0.6031
28659,粉丝接受对演员在电影里表现的合理评价(褒贬都接受)。评论里对演员进行性别攻击的low货n.m.s.l,1.0
28660,楚子航别江南老贼写死了,0.4509
28661,为什么有王一博的名字，和一博有什么关系啊？,0.4779
28664,这里是上海，最后的堡垒。 【暑期档0809】 未来战争电影《上海堡垒》震撼来袭！ ,0.9958
28665,“这个夜晚不错，并不炎热的夏天，月色蛮好，城里的街道上流动着淡淡的花香。其实我没本事救这个城市，也没本事救她，我只是想再听听她的声音而已。”在天幕坠落、世界沉沦之前，江洋有个没来得及许下的愿望，如果不能一生相伴，那就一生纠缠，8月9号想去看看。,1.0
28666,加油，互评,0.6558
28667,科幻片的市场永远是大众，要不得粉丝经济，抱着这个心，才能拍好，才有可能成功。,0.9941
28668,呵呵呵   王思聪够真实,0.9656
28669,郑爽好看 综艺女儿们的恋爱了解一下 ,0.9749
28670,真的很期待啊，希望成品不辱期待,0.7841
28671,看看 ,0.5262
28672,我不知道打9分10分的人是啥心态,0.3942
28674,圈钱活动宣告失败，感谢之前的好电影给了我们说真话的底气,0.5854
28675,我不懂 本来就是烂片 花钱看了评价一下为什么还委屈上了？大众那么喜欢往可怜的一方倒吗,0.023
28676,现在已经不是道歉不道歉的事情了 一部能被大众评价到3.几分的电影可想而知该是怎样了 是我们群众故意抹黑上海堡垒吗？一部能让人感觉好的影片我相信大多数人都会共鸣.你暂且不说鹿晗演技有没有问题 就单单是你们把责任推给剧本是啥意思？鹿晗是2000分之一没错 可是片子火了受益人是谁 不要杠了 烂片王,0.0014
28677,换成谁能行？？,0.0506
28678,互评,0.1822
28679,江洋啊 ,0.5455
28680,加油小鹿,0.8963
28682,“用这一仗赢你和勋章”上海堡垒定档0809这里是上海，守护人类最后的堡垒！！,0.9866
28683,姐妹，以后积分贴不要带上海堡垒的tag哦，净化组号召了。,0.3107
28684,找谁不好你找鹿晗，这不求着人家黑你吗,0.0131
28685,郑爽好美啊  幸福就好～ ,0.9943
28686,堡垒冲啊,0.5
28687,我挺理解粉丝这种心情，因为我喜欢的明星每次有电视电影要上映，还没开始，一大堆恶评就已来了，无奈且无助，现在的黑子才不管是不是真的好看，他们的工作就是黑你黑你，我也从来不信别人嘴边说的好与坏，要想评判，自己去看了再说，昨晚本来想去看《上海堡垒的》，可是男朋友没空，改天再去看,0.9999
28688,几千万的粉丝跳脚？太夸张了吧，我是粉丝我就没跳脚！因为我还没去看，看过了我才有资格评论，你说呢,0.0055
28689,对 注意下哈 导演对咱鹿那么好,0.7843
28690,呵，钱赚够了？,0.2717
28691,感觉有些人恶意太大了吧，根本不是在否定电影，而是在否认鹿晗，全部人讲得都很厉害的样子“从专业的角度来看怎么怎么样”，直说不喜欢鹿晗，不喜欢小鲜肉就行了呗，何必假装公正说电影这不好那不好。我看过了我觉得还可以，非得所有人都觉得不好？花的我自己的钱，你激动个啥,0.287
28692,真恶心，要脸么,0.1149
28693,互评加油呀,0.6558
28694,帅爆了,0.7591
28695,放下成见，摒弃偏见并没有那么难，只需你走进电影院。,0.8477
28696,8月9日电影院见,0.0512
28697,鹿晗江洋,0.4932
28698,兴奋，上海堡垒倒计时二天,0.722
28700,期待堡垒,0.666
28701,。 ,0.5262
28702,你见过那个军人的头发那么长！,0.1726
28703,哈哈,0.5262
28704,鹿晗问导演用不用剪头导演说不用 造型是他一个艺人能自己决定的吗 全体工作人员片酬只占10% 说了多少次了 一直人身攻击是什么鬼 看过这个电影的人绝不会把锅扣鹿晗身上,0.82
28705,正在看，我后排已经睡着了，不要卖惨，接受现实，我已经看不下去了，外星人？？？？第一次听指挥管说外星人，外星人都要笑了,0.0077
28706,今天去看了，其实没那差，我觉得不要带有色眼镜去看啊，有些细节确实做的不是很到位，但也没有像有些人说的那样不好,0.0496
28707,想问你一句，你这个事跟王一博和刘强东有啥关系,0.6081
28708,互评一下,0.1822
28709,8月9日，不见不散呀，灰鹰小队江洋,0.297
28711,特效好哎，整体看起来不错的样子,0.9869
28712,一座城池之争，人类存亡之战。陆沉、毁灭；保卫、拯救。殊死一争，为生存而战。 【暑期档0809】 未来战争电影《上海堡垒》震撼来袭！,1.0
28713,加油加油互评,0.9422
28714,刚看了一下鹿姑娘的微博，6000万的粉丝，一张十块钱的门票也有6个亿，刚看了一下我这附近的电影院，最高的是41块，最低是22块9，大部分是36块左右，就按36块算也有20几个亿呢,0.0135
28715,支持杨幂   爱国主义,0.6033
28716,加油晚安,0.9404
28717,六元暑假工我祝他们以后被反噬,0.9257
28718,不吹不黑，从中立的角度谈，确实，很大气，立意高，能自洽，显示了中国科幻人特有的浪漫情怀 全片也时刻展现了导演对于整个故事的把控，演员对于角色的理解，尤其是在危急存亡之际闪耀出的大无畏的勇气与可歌可泣的爱情都让人泪目 全片水平之高，对比好菜坞的话，与环大西洋不相上下。,1.0
28719,对哇对呀,0.5262
28720,科幻电影的门被焊得死死地,0.9115
28721,看过说烂片我可以理解，你没看过也跟着说烂片我就不能理解了,0.8216
28722,不管吐槽不吐槽，我觉得上海堡垒还可以。,0.2815
28724,他们说我是被上天眷顾那一个  所以必须完美着 每时每刻  想诉说却发现已难开口坦白脆弱  哪怕我此刻承受的已超负荷！,0.9946
28725,这个特效狠，想想泡防御、陆沉、上海大炮以及德尔塔文明的母舰这些画面的呈现也好心动啊！！！,0.7576
28726,这是全世界最热血的一场末日地球保卫战，若有那一天到来，天幕坠落，世界沉沦，愿我们都还相信爱情。 【暑期档0809】 未来战争电影《上海堡垒》震撼来袭！,1.0
28728,其实当初拍摄电影的时候，正是小鲜肉大行起道的时候，只要一部电影有小鲜肉，票房基本上就有保证，一部电影也不一定是导演说了算，也不能完全怪罪导演，但是大环境变得太快了，战狼，红海，流浪地球，哪吒等不断涌现，加速了小鲜肉时代的破灭，这也是为啥流浪地球等根本就不会有明星宣传，动了大家蛋糕,1.0
28729,国家利益高于一切,0.758
28731,恶意太大了，跟风的也多。真怀疑那些人有没有用脑子。,0.0073
28732,3.5的分数打出来 我不知道粉丝怎么闭眼吹好看的 如果真的好看 分数不会一直降 会一直升的 虽有恶意评分的人 但大多数观众不会侮辱好作品,0.6796
28733,真的，我也想说，两一起cue吧，导演也特别可爱啊,0.851
28734,不用道歉，赔我票钱,0.0081
28735,不好好拍戏干嘛一直道歉？？？？？道歉票房就起来了？？？六年策划拍摄在干嘛去了？？？？？一点意思都没有,0.0001
28736,我，，竟然觉得，，，挺好看的,0.6193
28737,明天见，四字互评,0.0431
28738,鹿鹿啊，你要永远开心啊,0.8223
28739,不带偏见去看电影真的不错的，少有的明理人,0.9997
28740,我要去看到中国人打外星人！我要去看中国人拯救世界，就是爽,0.9994
28741,啊啊啊啊啊不知道一直很喜欢的舒淇姐姐和小鹿合作会带给大噶什么惊喜！！真的超级期待！！期待舒淇姐姐！！期待小鹿！！期待不同风格的碰撞！！！！,0.9886
28742,0809上海堡垒,0.4042
28743,战士要有战士的亚子，看流浪地球，吴京和屈楚萧这样子的军人给人代入感很强，反观上海堡垒。。。保卫战吗，连我这母逼都想说 ：,1.0
28744,我就喜欢郑爽！初次见面就喜欢了。,0.9242
28745,哦吼,0.5
28746,只要有鹿晗，各方黑子都来了，资本也下水，这个世界真就那么黑暗了,0.9879
28747,怕是你都没有看过就开始黑吧，请你去看过影片以后再做评价吧,0.1539
28748,给导演留点面子,0.8783
28749,"啥子叫""不喜欢电影的朋友""，只是不喜欢没营养的电影～",0.8607
28750,之前宣传说科幻片，可到头来竟然是部爱情片,0.9093
28751,我觉得这部电影就是剧情逻辑有点问题，其他还可以。评分有点低了吧,0.8673
28752,lh 期待期待,0.7991
28753,都是一群无脑黑害了上海堡垒，只要你愿意走进影院看下上海堡垒，会给你们惊喜的,0.8355
28754,图9是粉丝p图，不是剧照哦,0.8313
28755,科幻世界，激越战争，末日爱情，强大阵容。最极致的孤独，最绝望的毁灭，逢生之处不过一句：“好好睡，晚安。”【暑期档8月9日】《上海堡垒》,1.0
28756,互评互助互赞,0.7316
28757,别把观众当傻子，也别把粉丝当摇钱树,0.8892
28758,中国不容侵犯，国家利益高于一切，支持解约,0.981
28759,堡垒加油！！！冲呀！！！,0.3192
28760,支持堡垒，支持鹿晗，大家一起加油,0.9406
28761,谁演烂片都要做好挨骂的准备，就算是古天乐曾经有一段时间都被骂烂片王！烂片就是烂片，演员你也有不接的权利啊！你接了就要荣辱与共，你们粉丝为了演员好，就要督促他接好片，提高眼光和演技，不是在这洗白，还很努力，他努不努力和我有什么关系！！！！,0.9998
28762,有道理,0.5907
28763,可惜您把中国科幻电影的大门关上了  还上了锁,0.9232
28764,不心疼，不看，不知道好不好看，该问问粉丝（原著粉，主角粉）为啥不去看,0.4221
28765,对不起，我先敬一杯预言帝,0.8411
28766,哥哥，以后不管做什么事，我们永远把健康和快乐放在第一位好不好？虽然这个想法很不成熟，可我真的不想看到你受委屈（请原谅我这么自私,1.0
28767,[加油][加油],0.9865
28768,“你是凝结的时间，流动的语言，黑色的雾里，有隐约的光。可是透过你的双眼，会看不清世界，花朵的凋萎，在瞬间，而花朵的绽放，在昨天。”用这一仗，赢你和勋章！期待暑假档0809未来战争电影《上海堡垒》！期待灰鹰小队江洋！,1.0
